fecha,demanda_MWh
2016-06-20,717719.773
2016-06-21,748639.036
2016-06-22,758119.967
2016-06-23,754454.312
2016-06-24,718649.229
2016-06-25,685908.782
2016-06-26,625080.91
2016-06-27,751353.712
2016-06-28,778861.467
2016-06-29,780388.228
2016-06-30,785078.65
2016-07-01,780837.638
2016-07-02,706129.917
2016-07-03,656564.101
2016-07-04,773366.894
2016-07-05,799505.67
2016-07-06,804016.097
2016-07-07,791608.63
2016-07-08,800680.755
2016-07-09,732130.485
2016-07-10,681645.652
2016-07-11,819684.185
2016-07-12,820246.74
2016-07-13,791222.123
2016-07-14,775029.946
2016-07-15,764830.789
2016-07-16,693162.532
2016-07-17,641482.386
2016-07-18,779960.407
2016-07-19,806888.322
2016-07-20,822375.658
2016-07-21,823543.175
2016-07-22,800629.932
2016-07-23,704385.142
2016-07-24,647520.055
2016-07-25,752032.203
2016-07-26,818352.397
2016-07-27,822449.75
2016-07-28,820121.774
2016-07-29,815377.908
2016-07-30,732718.3
2016-07-31,664770.94
2016-08-01,777384.598
2016-08-02,795394.433
2016-08-03,803662.631
2016-08-04,804104.371
2016-08-05,784604.624
2016-08-06,697986.2
2016-08-07,643890.722
2016-08-08,751791.103
2016-08-09,762030.919
2016-08-10,733011.752
2016-08-11,727538.224
2016-08-12,730090.998
2016-08-13,669486.783
2016-08-14,618083.966
2016-08-15,634293.631
2016-08-16,725863.746
2016-08-17,742268.85
2016-08-18,753826.937
2016-08-19,759782.417
2016-08-20,703791.583
2016-08-21,641309.798
2016-08-22,762760.617
2016-08-23,783001.233
2016-08-24,780686.398
2016-08-25,773709.221
2016-08-26,773725.147
2016-08-27,707641.549
2016-08-28,667416.359
2016-08-29,796215.291
2016-08-30,800502.558
2016-08-31,801022.91
2016-09-01,803389.649
2016-09-02,809913.744
2016-09-03,736925.654
2016-09-04,694795.32
2016-09-05,842846.51
2016-09-06,866776.887
2016-09-07,858146.014
2016-09-08,807734.766
2016-09-09,799280.135
2016-09-10,715186.71
2016-09-11,661045.075
2016-09-12,791191.528
2016-09-13,783754.966
2016-09-14,738149.671
2016-09-15,723970.41
2016-09-16,720649.983
2016-09-17,654478.968
2016-09-18,604760.487
2016-09-19,711885.025
2016-09-20,733659.067
2016-09-21,732473.375
2016-09-22,738113.746
2016-09-23,731463.797
2016-09-24,649254.897
2016-09-25,597556.409
2016-09-26,716854.246
2016-09-27,738751.337
2016-09-28,739398.371
2016-09-29,732205.833
2016-09-30,728244.707
2016-10-01,651121.153
2016-10-02,599357.533
2016-10-03,713722.319
2016-10-04,736563.205
2016-10-05,739209.623
2016-10-06,734532.619
2016-10-07,714661.239
2016-10-08,645857.154
2016-10-09,595450.276
2016-10-10,702192.053
2016-10-11,708551.978
2016-10-12,614952.398
2016-10-13,698269.323
2016-10-14,700725.5
2016-10-15,630819.619
2016-10-16,587220.739
2016-10-17,707123.678
2016-10-18,725283.946
2016-10-19,723832.962
2016-10-20,722614.729
2016-10-21,716440.745
2016-10-22,648315.218
2016-10-23,602822.429
2016-10-24,711498.925
2016-10-25,725039.13
2016-10-26,722845.864
2016-10-27,720293.62
2016-10-28,715101.758
2016-10-29,634760.631
2016-10-30,601760.466
2016-10-31,641173.28
2016-11-01,592700.95
2016-11-02,700034.861
2016-11-03,714618.903
2016-11-04,725239.796
2016-11-05,654135.048
2016-11-06,599781.048
2016-11-07,726988.501
2016-11-08,759834.872
2016-11-09,758837.182
2016-11-10,760570.145
2016-11-11,754886.367
2016-11-12,676028.351
