modelo,ano_test,timestamp,real,pred
naive_hd,2018,2018-01-07 13:00:00,29427.0,26828.33121019108
naive_hd,2018,2018-01-07 14:00:00,29679.0,26760.292993630574
naive_hd,2018,2018-01-07 15:00:00,28491.0,25744.191082802547
naive_hd,2018,2018-01-07 16:00:00,27811.0,25147.980891719744
naive_hd,2018,2018-01-07 17:00:00,28043.0,25038.178343949046
naive_hd,2018,2018-01-07 18:00:00,30461.0,25885.089171974523
naive_hd,2018,2018-01-07 19:00:00,31765.0,26961.76433121019
naive_hd,2018,2018-01-07 20:00:00,32899.0,28186.375796178345
naive_hd,2018,2018-01-07 21:00:00,32866.0,29167.71337579618
naive_hd,2018,2018-01-07 22:00:00,31471.0,28669.71337579618
naive_hd,2018,2018-01-07 23:00:00,28895.0,26760.71974522293
naive_hd,2018,2018-01-08 00:00:00,26185.0,24747.628205128207
naive_hd,2018,2018-01-08 01:00:00,24330.0,23131.26282051282
naive_hd,2018,2018-01-08 02:00:00,23125.0,22196.115384615383
naive_hd,2018,2018-01-08 03:00:00,22738.0,21722.221153846152
naive_hd,2018,2018-01-08 04:00:00,22658.0,21664.371794871793
naive_hd,2018,2018-01-08 05:00:00,23611.0,22277.846153846152
naive_hd,2018,2018-01-08 06:00:00,26856.0,24624.01282051282
naive_hd,2018,2018-01-08 07:00:00,31913.0,27841.42948717949
naive_hd,2018,2018-01-08 08:00:00,35308.0,30205.51282051282
naive_hd,2018,2018-01-08 09:00:00,36816.0,31742.52564102564
naive_hd,2018,2018-01-08 10:00:00,37648.0,32662.79487179487
naive_hd,2018,2018-01-08 11:00:00,37613.0,33004.083333333336
naive_hd,2018,2018-01-08 12:00:00,37279.0,33258.916666666664
naive_hd,2018,2018-01-08 13:00:00,37139.0,33337.967948717946
naive_hd,2018,2018-01-08 14:00:00,35950.0,32433.92948717949
naive_hd,2018,2018-01-08 15:00:00,35288.0,31774.096153846152
naive_hd,2018,2018-01-08 16:00:00,35075.0,31581.55128205128
naive_hd,2018,2018-01-08 17:00:00,35447.0,31694.371794871793
naive_hd,2018,2018-01-08 18:00:00,37221.0,32046.391025641027
naive_hd,2018,2018-01-08 19:00:00,38093.0,32535.28205128205
naive_hd,2018,2018-01-08 20:00:00,38400.0,33047.1217948718
naive_hd,2018,2018-01-08 21:00:00,37615.0,33090.71153846154
naive_hd,2018,2018-01-08 22:00:00,34909.0,31081.108974358973
naive_hd,2018,2018-01-08 23:00:00,31417.0,28423.47435897436
naive_hd,2018,2018-01-09 00:00:00,28826.0,26562.48717948718
naive_hd,2018,2018-01-09 01:00:00,26713.0,24856.23717948718
naive_hd,2018,2018-01-09 02:00:00,25396.0,23808.615384615383
naive_hd,2018,2018-01-09 03:00:00,24994.0,23344.97435897436
naive_hd,2018,2018-01-09 04:00:00,24818.0,23202.8141025641
naive_hd,2018,2018-01-09 05:00:00,25531.0,23638.71794871795
naive_hd,2018,2018-01-09 06:00:00,28322.0,25676.19871794872
naive_hd,2018,2018-01-09 07:00:00,33300.0,28831.01282051282
naive_hd,2018,2018-01-09 08:00:00,36659.0,31068.134615384617
