modelo,ano_test,fecha,real,pred
chronos2,2024,2024-01-08,784344.305,746022.0
chronos2,2024,2024-01-09,811334.555,772279.6875
chronos2,2024,2024-01-10,818554.39,770905.1875
chronos2,2024,2024-01-11,808748.333,772219.5
chronos2,2024,2024-01-12,805039.453,767018.6875
chronos2,2024,2024-01-13,717299.596,704992.125
chronos2,2024,2024-01-14,660467.647,665431.375
chronos2,2024,2024-01-15,770268.23,752474.75
chronos2,2024,2024-01-16,770386.472,759062.25
chronos2,2024,2024-01-17,759854.347,756086.8125
chronos2,2024,2024-01-18,742783.492,749936.8125
chronos2,2024,2024-01-19,776526.605,748164.6875
chronos2,2024,2024-01-20,683033.933,683776.5625
chronos2,2024,2024-01-21,640605.651,639419.875
chronos2,2024,2024-01-22,756819.433,752748.125
chronos2,2024,2024-01-23,753138.609,764118.3125
chronos2,2024,2024-01-24,740425.099,765391.875
chronos2,2024,2024-01-25,731835.908,754971.9375
chronos2,2024,2024-01-26,723523.058,740009.875
chronos2,2024,2024-01-27,637219.431,679304.4375
chronos2,2024,2024-01-28,600542.109,637218.0625
chronos2,2024,2024-01-29,722022.961,734835.375
chronos2,2024,2024-01-30,739056.741,755199.0
chronos2,2024,2024-01-31,743579.224,762119.9375
chronos2,2024,2024-02-01,742360.015,764191.5
chronos2,2024,2024-02-02,732137.756,755394.6875
chronos2,2024,2024-02-03,645683.778,674783.9375
chronos2,2024,2024-02-04,603124.588,622163.0
chronos2,2024,2024-02-05,723751.094,743845.4375
chronos2,2024,2024-02-06,737643.259,760196.3125
chronos2,2024,2024-02-07,749239.087,759881.4375
chronos2,2024,2024-02-08,753771.808,755099.375
chronos2,2024,2024-02-09,755078.183,743609.6875
chronos2,2024,2024-02-10,663286.901,661803.0
chronos2,2024,2024-02-11,637388.013,612060.5
chronos2,2024,2024-02-12,714805.293,713085.1875
chronos2,2024,2024-02-13,711774.274,731376.5
chronos2,2024,2024-02-14,720159.286,730718.5625
chronos2,2024,2024-02-15,729110.689,732019.75
chronos2,2024,2024-02-16,717799.65,723067.75
chronos2,2024,2024-02-17,624221.905,649832.0
chronos2,2024,2024-02-18,584974.522,599084.875
chronos2,2024,2024-02-19,689633.162,697960.0
chronos2,2024,2024-02-20,701883.264,724770.5
chronos2,2024,2024-02-21,717459.193,733046.25
chronos2,2024,2024-02-22,727081.55,732422.9375
chronos2,2024,2024-02-23,724628.099,727737.875
chronos2,2024,2024-02-24,657800.038,653488.0625
chronos2,2024,2024-02-25,626143.633,601843.875
chronos2,2024,2024-02-26,730573.86,707622.875
chronos2,2024,2024-02-27,746142.904,729548.5625
chronos2,2024,2024-02-28,732016.128,739046.375
chronos2,2024,2024-02-29,735852.499,743067.5625
chronos2,2024,2024-03-01,729467.223,736724.9375
chronos2,2024,2024-03-02,666467.109,658155.8125
chronos2,2024,2024-03-03,621709.846,614075.5
chronos2,2024,2024-03-04,737435.932,718120.0
chronos2,2024,2024-03-05,723424.215,743130.125
chronos2,2024,2024-03-06,729789.252,749598.875
chronos2,2024,2024-03-07,746093.475,744752.0
chronos2,2024,2024-03-08,749031.934,729371.5
chronos2,2024,2024-03-09,692419.871,660119.625
chronos2,2024,2024-03-10,627303.729,618765.625
chronos2,2024,2024-03-11,717439.261,712865.5625
chronos2,2024,2024-03-12,716317.541,732600.0625
chronos2,2024,2024-03-13,716865.216,731098.4375
chronos2,2024,2024-03-14,717487.516,724279.4375
