modalidad,iter,ano_test,fecha,real,pred,error,train_ini,train_fin,n_train
expanding,6,2025,2025-11-01,21098962.566,21010595.278011438,88367.28798856214,2015-01-01,2024-12-01,120
expanding,6,2025,2025-12-01,22697453.736,22059781.74897846,637671.9870215431,2015-01-01,2024-12-01,120
sliding,1,2020,2020-01-01,23826282.724,23943504.733921103,-117222.00992110372,2015-01-01,2019-12-01,60
sliding,1,2020,2020-02-01,20980969.957,20381811.954631817,599158.002368182,2015-01-01,2019-12-01,60
sliding,1,2020,2020-03-01,20926733.362,21828924.678285897,-902191.316285897,2015-01-01,2019-12-01,60
sliding,1,2020,2020-04-01,17060911.994,20010875.81272283,-2949963.818722829,2015-01-01,2019-12-01,60
sliding,1,2020,2020-05-01,18308083.84,20781198.589370005,-2473114.749370005,2015-01-01,2019-12-01,60
sliding,1,2020,2020-06-01,19358582.116,20759995.6408732,-1401413.5248732008,2015-01-01,2019-12-01,60
sliding,1,2020,2020-07-01,23194421.105,24128726.07010262,-934304.9651026204,2015-01-01,2019-12-01,60
sliding,1,2020,2020-08-01,22065111.348,22591660.31619277,-526548.9681927674,2015-01-01,2019-12-01,60
sliding,1,2020,2020-09-01,20498509.843,21299856.004408576,-801346.1614085771,2015-01-01,2019-12-01,60
sliding,1,2020,2020-10-01,20693485.205,21664641.101269647,-971155.8962696493,2015-01-01,2019-12-01,60
sliding,1,2020,2020-11-01,20698566.523,21316504.44321341,-617937.9202134125,2015-01-01,2019-12-01,60
sliding,1,2020,2020-12-01,22438961.596,22366513.446038675,72448.14996132627,2015-01-01,2019-12-01,60
sliding,2,2021,2021-01-01,23909484.894,24111570.821714915,-202085.92771491408,2016-01-01,2020-12-01,60
sliding,2,2021,2021-02-01,20182155.276,20851599.79354107,-669444.5175410695,2016-01-01,2020-12-01,60
sliding,2,2021,2021-03-01,21823050.887,20887327.735332314,935723.1516676843,2016-01-01,2020-12-01,60
sliding,2,2021,2021-04-01,19940221.825,17162359.12678542,2777862.6982145794,2016-01-01,2020-12-01,60
sliding,2,2021,2021-05-01,20346648.964,18210610.31978435,2136038.644215651,2016-01-01,2020-12-01,60
sliding,2,2021,2021-06-01,20728356.541,19018262.37228769,1710094.1687123105,2016-01-01,2020-12-01,60
sliding,2,2021,2021-07-01,22922255.761,22064381.998445667,857873.7625543326,2016-01-01,2020-12-01,60
sliding,2,2021,2021-08-01,22059793.279,21590963.59900602,468829.67999397963,2016-01-01,2020-12-01,60
sliding,2,2021,2021-09-01,20972956.058,20095629.061122473,877326.996877525,2016-01-01,2020-12-01,60
sliding,2,2021,2021-10-01,20197477.971,19637584.88228816,559893.0887118392,2016-01-01,2020-12-01,60
sliding,2,2021,2021-11-01,21433492.692,21389895.36470939,43597.327290613204,2016-01-01,2020-12-01,60
sliding,2,2021,2021-12-01,22029944.637,21731252.32255923,298692.3144407682,2016-01-01,2020-12-01,60
sliding,3,2022,2022-01-01,22729295.932,23684473.535844523,-955177.6038445234,2017-01-01,2021-12-01,60
sliding,3,2022,2022-02-01,20168155.371,20448772.28794008,-280616.91694008186,2017-01-01,2021-12-01,60
sliding,3,2022,2022-03-01,21475748.762,21989939.436082665,-514190.67408266664,2017-01-01,2021-12-01,60
sliding,3,2022,2022-04-01,19589011.223,19958782.385860454,-369771.1628604531,2017-01-01,2021-12-01,60
sliding,3,2022,2022-05-01,20301232.67,20254552.921269543,46679.74873045832,2017-01-01,2021-12-01,60
sliding,3,2022,2022-06-01,21330346.609,21769168.090449493,-438821.4814494923,2017-01-01,2021-12-01,60
