ano_test,fecha,real,pred_ens_actual,pred_chronos2,pred_50_50
2022,2022-11-03,656532.768,701415.0062905322,705015.8125,703215.4093952661
2022,2022-11-04,653078.471,713481.7086935382,705669.8125,709575.7605967692
2022,2022-11-05,571841.348,652581.8117771725,637807.4375,645194.6246385863
2022,2022-11-06,532238.943,608163.8970833566,600757.625,604460.7610416783
2022,2022-11-07,612953.806,701745.434527951,702550.8125,702148.1235139754
2022,2022-11-08,666701.201,713738.580372899,720213.5625,716976.0714364494
2022,2022-11-09,661163.333,718059.6908448823,726798.5,722429.0954224411
2022,2022-11-10,664449.942,722818.9130184661,723373.0,723095.956509233
2022,2022-11-11,664653.882,721227.6538347643,720179.125,720703.3894173822
2022,2022-11-12,588358.835,638296.6971019382,645450.375,641873.536050969
2022,2022-11-13,542933.157,597758.3243001425,605314.625,601536.4746500712
2022,2022-11-14,652741.12,700321.4332908932,706902.0625,703611.7478954466
2022,2022-11-15,651544.301,721817.5062346418,724169.25,722993.3781173208
2022,2022-11-16,681393.885,729786.4427599987,732054.5,730920.4713799993
2022,2022-11-17,679641.411,727033.2716215464,725059.0625,726046.1670607731
2022,2022-11-18,675636.087,730680.5084929393,724934.0,727807.2542464696
2022,2022-11-19,603900.284,669942.9645700755,660137.0625,665040.0135350378
2022,2022-11-20,560680.142,619095.8337435302,631441.625,625268.7293717652
2022,2022-11-21,686937.943,721946.2727981893,733027.8125,727487.0426490947
2022,2022-11-22,715617.289,759305.7043620823,750651.5,754978.6021810411
2022,2022-11-23,701571.613,750219.0366549026,748757.75,749488.3933274513
2022,2022-11-24,698309.438,753924.8961306289,747381.8125,750653.3543153144
2022,2022-11-25,682256.747,752460.9720812072,738092.75,745276.8610406036
2022,2022-11-26,614741.775,695512.2650950461,681049.1875,688280.7262975231
2022,2022-11-27,582620.008,659697.2441437468,654440.9375,657069.0908218734
2022,2022-11-28,688907.474,753799.7726042488,749021.75,751410.7613021245
2022,2022-11-29,712802.199,779658.97737229,773742.625,776700.801186145
2022,2022-11-30,724740.32,785152.2636241573,783813.125,784482.6943120786
2022,2022-12-01,730613.079,786156.6311146984,786371.75,786264.1905573492
2022,2022-12-02,731618.823,790908.0078165581,783868.3125,787388.1601582791
2022,2022-12-03,659861.394,719477.8468231942,713819.25,716648.548411597
2022,2022-12-04,616327.939,669643.6489601302,668723.6875,669183.6682300651
2022,2022-12-05,707473.451,728499.6834565013,774316.6875,751408.1854782507
2022,2022-12-06,645078.436,675476.7896056332,732418.6875,703947.7385528167
2022,2022-12-07,693711.869,732838.8056150619,806261.1875,769549.996557531
2022,2022-12-08,632319.537,719566.8214039268,736321.9375,727944.3794519634
2022,2022-12-09,671091.448,764638.7549905399,797503.4375,781071.09624527
2022,2022-12-10,623146.186,690194.714473174,687321.0625,688757.888486587
2022,2022-12-11,606821.364,645045.8805834617,664306.875,654676.3777917309
2022,2022-12-12,728180.46,749134.9359403184,753768.875,751451.9054701591
2022,2022-12-13,732934.204,759763.5850200373,770148.3125,764955.9487600187
2022,2022-12-14,717540.301,765017.1488138246,768549.25,766783.1994069123
2022,2022-12-15,712548.603,766600.6831031205,768786.5625,767693.6228015602
2022,2022-12-16,713514.912,762519.7428788203,772090.625,767305.1839394101
2022,2022-12-17,629703.175,694193.9277389055,685222.625,689708.2763694527
2022,2022-12-18,591386.911,643212.2665796581,658898.4375,651055.3520398291
2022,2022-12-19,708990.929,755305.0705494288,749411.0625,752358.0665247145
2022,2022-12-20,724156.043,752257.8222386884,749346.5625,750802.1923693442
2022,2022-12-21,711189.579,741986.548973686,738114.3125,740050.430736843
2022,2022-12-22,694814.032,714613.9132115263,724457.1875,719535.5503557632
2022,2022-12-23,657996.045,679239.3967869328,694654.5,686946.9483934664
2022,2022-12-24,562091.314,609789.0704476372,636884.0,623336.5352238186
2022,2022-12-25,489067.621,580133.2802194211,600000.3125,590066.7963597106
2022,2022-12-26,532343.828,659993.9000487432,675400.1875,667697.0437743716
2022,2022-12-27,612141.492,672539.880289364,697195.625,684867.7526446821
2022,2022-12-28,629989.307,678020.186019048,715914.0625,696967.124259524
2022,2022-12-29,637184.984,672442.7142239693,729929.0625,701185.8883619846
2022,2022-12-30,624064.594,647777.1291326679,710400.5,679088.814566334
2022,2022-12-31,559754.852,596283.765160014,648238.6875,622261.226330007
2023,2023-01-01,506425.906,553282.1604866418,521457.3125,537369.7364933209
2023,2023-01-02,621645.824,660335.5193916187,613182.0,636758.7596958093
2023,2023-01-03,677052.137,689417.442134888,652547.125,670982.283567444
2023,2023-01-04,689160.95,697217.4181016162,662424.625,679821.0215508081
2023,2023-01-05,671291.045,671050.4263312967,664631.6875,667841.0569156483
2023,2023-01-06,580299.936,610395.1137049875,624109.0625,617252.0881024937
2023,2023-01-07,626064.221,652000.1689639792,620913.5,636456.8344819896
2023,2023-01-08,614482.321,604878.0875666166,568744.125,586811.1062833082
2023,2023-01-09,702001.315,707602.3426184239,683224.875,695413.608809212
2023,2023-01-10,731661.44,734716.8472690256,704713.25,719715.0486345128
2023,2023-01-11,738957.782,734504.3740287336,712670.25,723587.3120143667
2023,2023-01-12,743091.787,751346.8940342128,722377.875,736862.3845171065
2023,2023-01-13,737961.141,753347.4313897582,726137.625,739742.5281948792
2023,2023-01-14,663062.596,683683.743957539,667371.5625,675527.6532287695
2023,2023-01-15,615888.197,632082.3853650716,613127.375,622604.8801825359
2023,2023-01-16,755509.285,748113.9146415023,711834.125,729974.0198207512
2023,2023-01-17,758739.977,756220.8647106489,737243.6875,746732.2761053245
2023,2023-01-18,780321.606,780705.5362241374,754243.1875,767474.3618620688
2023,2023-01-19,790062.795,780315.5076718031,759387.3125,769851.4100859016
2023,2023-01-20,757426.586,762821.1069351799,752832.0,757826.5534675899
2023,2023-01-21,676924.309,698226.1340367382,689974.75,694100.4420183691
2023,2023-01-22,649293.321,664225.8740012347,649969.8125,657097.8432506174
2023,2023-01-23,787526.211,782936.7598146303,752300.9375,767618.8486573151
2023,2023-01-24,825630.213,795699.7775656668,773984.3125,784842.0450328335
2023,2023-01-25,816153.242,792964.0819101565,785467.875,789215.9784550783
2023,2023-01-26,817260.311,783914.4855163381,785771.25,784842.8677581691
2023,2023-01-27,806430.869,778242.9042748458,780385.25,779314.077137423
2023,2023-01-28,718692.953,698652.7064718553,711093.375,704873.0407359276
2023,2023-01-29,675983.757,660901.0691144766,671790.5,666345.7845572382
2023,2023-01-30,795325.338,773964.8732251172,763911.125,768937.9991125586
2023,2023-01-31,803698.92,781794.1608979515,778899.875,780347.0179489758
2023,2023-02-01,801662.332,771427.6131975572,789089.625,780258.6190987786
2023,2023-02-02,790975.567,766759.4488814468,768464.875,767612.1619407234
2023,2023-02-03,775632.369,758727.754508052,758902.1875,758814.971004026
2023,2023-02-04,684167.496,681861.4625327409,675117.0625,678489.2625163705
2023,2023-02-05,638690.856,628502.6537759793,624035.5625,626269.1081379896
2023,2023-02-06,775399.85,742800.9329660157,731669.0625,737234.9977330079
2023,2023-02-07,808031.458,760384.8227453576,748517.25,754451.0363726788
2023,2023-02-08,805426.932,755574.6813467272,752171.375,753873.0281733635
2023,2023-02-09,795325.55,760090.5816543802,750203.8125,755147.19707719
2023,2023-02-10,791833.872,758795.6365428073,746316.0625,752555.8495214037
2023,2023-02-11,696716.754,685307.5941842984,669592.4375,677450.0158421493
2023,2023-02-12,648805.368,638157.3204354562,616738.0,627447.6602177281
2023,2023-02-13,763941.892,740568.4687691095,719903.0,730235.7343845547
2023,2023-02-14,776349.758,754156.3873896693,734950.0,744553.1936948346
2023,2023-02-15,765234.644,750755.494281513,739214.4375,744984.9658907566
2023,2023-02-16,756184.773,738916.8337021513,727022.625,732969.7293510756
2023,2023-02-17,745841.242,732749.7028419459,715778.9375,724264.320170973
2023,2023-02-18,656958.729,659938.348354675,633495.0625,646716.7054273374
2023,2023-02-19,604243.142,611842.0426166602,580067.0625,595954.5525583301
2023,2023-02-20,703843.757,708952.9404691238,677270.25,693111.595234562
2023,2023-02-21,718542.25,720790.7854046525,697683.125,709236.9552023262
2023,2023-02-22,723179.886,719494.3023404855,705428.625,712461.4636702428
2023,2023-02-23,744746.598,729519.0599239407,712372.75,720945.9049619704
2023,2023-02-24,741153.705,742268.3183669284,709702.0625,725985.1904334642
2023,2023-02-25,670495.14,675763.9233163773,646911.6875,661337.8054081886
2023,2023-02-26,633054.625,620490.4750234477,606951.1875,613720.8312617238
2023,2023-02-27,769247.838,733408.9936654499,719925.0,726666.9968327249
2023,2023-02-28,774548.797,746952.0708896014,735774.3125,741363.1916948007
2023,2023-03-01,790626.199,769883.2406570347,745280.6875,757581.9640785174
2023,2023-03-02,796204.01,762785.3929318908,747967.8125,755376.6027159453
2023,2023-03-03,772937.401,755158.326916783,738649.875,746904.1009583916
2023,2023-03-04,674017.739,670072.0313580945,653156.25,661614.1406790472
2023,2023-03-05,635805.655,622508.9422883455,605120.6875,613814.8148941728
2023,2023-03-06,739440.9,728938.6405462143,707821.8125,718380.2265231072
2023,2023-03-07,736668.395,721686.7759354938,705230.1875,713458.4817177469
2023,2023-03-08,726365.685,708306.7874225904,690889.3125,699598.0499612952
2023,2023-03-09,716452.857,699826.9439065751,672229.6875,686028.3157032875
2023,2023-03-10,689273.37,696978.9408104295,651670.9375,674324.9391552147
2023,2023-03-11,608584.638,614041.3026819743,564573.25,589307.2763409871
2023,2023-03-12,557439.954,560402.324821679,524547.9375,542475.1311608395
2023,2023-03-13,658906.077,667411.9611281444,604676.25,636044.1055640723
2023,2023-03-14,669720.805,683176.1698414907,634914.0,659045.0849207453
2023,2023-03-15,669686.9,680279.2949810433,649042.625,664660.9599905217
2023,2023-03-16,671404.492,674053.1993743982,649522.375,661787.7871871991
2023,2023-03-17,669898.72,664981.112108169,647108.5,656044.8060540846
2023,2023-03-18,603233.37,592684.2167870561,589831.125,591257.670893528
2023,2023-03-19,551700.834,550696.6445936428,557101.1875,553898.9160468214
2023,2023-03-20,641384.343,653567.9613277434,646093.1875,649830.5744138716
2023,2023-03-21,667437.684,672068.5575864426,668765.375,670416.9662932213
2023,2023-03-22,665415.519,675279.2426331672,665356.5625,670317.9025665836
2023,2023-03-23,664773.196,655278.2406623206,663831.125,659554.6828311603
2023,2023-03-24,664920.294,651714.0918495432,654211.4375,652962.7646747716
2023,2023-03-25,595900.869,584154.7466800216,580895.125,582524.9358400109
2023,2023-03-26,525933.283,524841.5544013738,535128.6875,529985.120950687
2023,2023-03-27,642067.363,642483.7064039087,626473.4375,634478.5719519544
2023,2023-03-28,655229.932,663576.3965061338,641415.25,652495.823253067
2023,2023-03-29,657287.875,666852.9293327308,646327.25,656590.0896663654
2023,2023-03-30,660755.927,653097.041973114,648261.5625,650679.302236557
2023,2023-03-31,660236.946,653024.3819420072,636156.5,644590.4409710036
2023,2023-04-01,592046.555,597188.7001630199,569358.125,583273.4125815099
2023,2023-04-02,548874.924,561347.7242672215,527953.375,544650.5496336108
2023,2023-04-03,639072.811,675327.7192837421,635084.9375,655206.3283918711
2023,2023-04-04,652016.035,688885.174105417,658380.125,673632.6495527085
2023,2023-04-05,639631.827,687088.4491932037,662706.8125,674897.6308466019
2023,2023-04-06,564889.452,666417.7507542704,661057.625,663737.6878771351
2023,2023-04-07,518549.539,580277.1657678949,589206.75,584741.9578839475
2023,2023-04-08,531339.729,585345.1180518969,584678.5,585011.8090259484
2023,2023-04-09,508947.86,535293.8860789683,510166.03125,522729.95866448415
2023,2023-04-10,562915.862,623617.6243580518,612906.25,618261.937179026
2023,2023-04-11,631802.137,644967.2037276948,630561.125,637764.1643638473
2023,2023-04-12,660115.2,646880.5411563013,636190.625,641535.5830781506
2023,2023-04-13,658532.314,616369.6200895007,635100.375,625734.9975447503
2023,2023-04-14,664022.635,593814.7783949679,625964.4375,609889.6079474839
2023,2023-04-15,592441.566,552829.2719647753,574348.0,563588.6359823877
2023,2023-04-16,547231.264,519370.9857118332,518064.5625,518717.7741059166
2023,2023-04-17,634831.145,596850.7173791281,609700.1875,603275.452439564
2023,2023-04-18,654865.618,637326.2579659341,639442.4375,638384.347732967
2023,2023-04-19,654950.573,655932.9128143586,649739.3125,652836.1126571794
2023,2023-04-20,656653.518,648182.7683448569,652004.25,650093.5091724284
2023,2023-04-21,650980.32,649574.870060362,641087.5,645331.185030181
2023,2023-04-22,590495.8,591539.9014161192,572095.0625,581817.4819580596
2023,2023-04-23,544376.883,536342.9454868905,521867.8125,529105.3789934453
2023,2023-04-24,633779.346,629562.936719274,614237.0625,621899.9996096371
2023,2023-04-25,659059.16,651310.64285876,635868.25,643589.44642938
2023,2023-04-26,661852.956,655700.4174054718,638558.625,647129.5212027358
2023,2023-04-27,666829.312,654466.0935869443,641037.3125,647751.7030434721
2023,2023-04-28,661354.264,644665.009963971,635195.0625,639930.0362319855
2023,2023-04-29,592081.712,575749.7293461476,563680.5,569715.1146730739
2023,2023-04-30,542193.983,519684.7037378761,517795.375,518740.0393689381
2023,2023-05-01,523889.313,545400.5491189131,567837.4375,556618.9933094566
2023,2023-05-02,622434.735,647338.6309657207,651588.5,649463.5654828604
2023,2023-05-03,660714.847,653025.9460324452,640410.625,646718.2855162226
2023,2023-05-04,665290.908,650055.195830664,651502.3125,650778.7541653321
2023,2023-05-05,659616.923,643540.6479013114,640618.8125,642079.7302006558
2023,2023-05-06,590485.791,575592.1586726625,571887.375,573739.7668363312
2023,2023-05-07,548502.085,528271.9151198097,525993.125,527132.5200599048
2023,2023-05-08,642369.829,631103.2776592053,622360.9375,626732.1075796026
2023,2023-05-09,668097.149,650066.3046865199,647721.4375,648893.8710932599
2023,2023-05-10,663531.114,653445.274134928,652080.75,652763.012067464
2023,2023-05-11,657135.64,651781.7073333452,653162.9375,652472.3224166726
2023,2023-05-12,656184.255,655859.9283829181,645118.875,650489.4016914591
2023,2023-05-13,585306.083,590461.3103094847,581859.875,586160.5926547423
2023,2023-05-14,542358.512,540259.8916608222,544939.9375,542599.914580411
2023,2023-05-15,631619.964,638382.4423336015,639172.375,638777.4086668007
2023,2023-05-16,651749.949,661797.8732024861,660166.1875,660982.030351243
2023,2023-05-17,643132.606,669532.3880509214,667738.875,668635.6315254606
2023,2023-05-18,651137.81,678759.0454095454,667068.9375,672913.9914547727
2023,2023-05-19,646534.241,679153.9826820994,659727.5625,669440.7725910498
2023,2023-05-20,576238.824,608466.3277556872,596480.0,602473.1638778436
2023,2023-05-21,535466.982,556534.7070047818,548565.8125,552550.2597523909
2023,2023-05-22,639422.481,652387.6993436132,644744.6875,648566.1934218067
2023,2023-05-23,654198.935,667986.3244931159,663464.5625,665725.4434965579
2023,2023-05-24,650279.581,659703.2663156061,666664.875,663184.070657803
2023,2023-05-25,651724.712,662001.1743735758,658325.625,660163.399686788
2023,2023-05-26,638249.622,661047.2439949375,652120.75,656583.9969974688
2023,2023-05-27,566548.508,594640.1205287621,584735.5625,589687.8415143811
2023,2023-05-28,521285.615,549268.0167049076,546027.0625,547647.5396024538
2023,2023-05-29,621366.375,641496.3882835462,639725.9375,640611.162891773
2023,2023-05-30,638434.329,669698.4504989405,657100.625,663399.5377494702
2023,2023-05-31,640059.655,676634.1043967089,662492.8125,669563.4584483544
2023,2023-06-01,649942.676,677243.5430755062,661857.0,669550.271537753
2023,2023-06-02,642678.488,674782.4096675246,656099.375,665440.8923337623
2023,2023-06-03,571764.741,601336.8364559883,587552.75,594444.7932279941
2023,2023-06-04,529995.247,553550.3958551926,549074.375,551312.3854275963
2023,2023-06-05,632165.698,646755.4137411542,637337.6875,642046.5506205771
2023,2023-06-06,660649.668,688763.6881358273,660111.625,674437.6565679137
2023,2023-06-07,675239.156,691837.3299530467,666416.75,679127.0399765234
2023,2023-06-08,666873.185,692216.8753223423,663081.125,677649.0001611712
2023,2023-06-09,657431.943,690010.0860977474,660031.0,675020.5430488738
2023,2023-06-10,585434.217,626672.2590488879,584280.0,605476.129524444
2023,2023-06-11,546386.353,579437.8651278421,543378.375,561408.120063921
2023,2023-06-12,654286.647,693419.5697453956,631846.25,662632.9098726978
2023,2023-06-13,671548.429,714136.0035431972,652620.4375,683378.2205215986
2023,2023-06-14,675031.725,723662.7527917341,661823.75,692743.251395867
2023,2023-06-15,685681.558,736193.3147142474,677148.875,706671.0948571237
